,statement,debunking_link,label
15,"Meat, dairy and personal cars, forbidden in Romania",https://www.veridica.ro/stiri-false/fake-news-carnea-lactatele-si-masinile-personale-interzise-in-romania,fake_news
16,Prohibition of cars in Russia shows EU Nazism,https://www.veridica.ro/stiri-false/propaganda-de-razboi-interzicerea-automobilelor-din-rusia-arata-nazismul-ue,war_propaganda
17,"Moldovan infrastructure, developed for Ukraine",https://www.veridica.ro/stiri-false/fake-news-infrastructura-moldovei-dezvoltata-pentru-ucraina,fake_news
18,The war saved Russia from unemployment and poverty,https://www.veridica.ro/stiri-false/propaganda-de-razboi-razboiul-a-salvat-rusia-de-somaj-si-saracie,war_propaganda
19,Anti-Covid-19 vaccines reduce men's life with 24,https://www.veridica.ro/stiri-false/fake-news-vaccinurile-anticovid19-reduc-viata-barbatilor-cu-24-de-ani,fake_news
20,Ukrainians don't learn something useful from NATO instruction,https://www.veridica.ro/stiri-false/fake-news-ucrainenii-nu-invata-ceva-util-din-instructia-nato,fake_news
21,"NATO specialists from Romania and the Netherlands, killed in Ukraine",https://www.veridica.ro/stiri-false/propaganda-de-razboi-specialisti-nato-din-romania-si-olanda-ucisi-in-ucraina,war_propaganda
22,EU leaders rejecting a future expansion of the community block,https://www.veridica.ro/dezinformare/dezinformare-liderii-ue-nu-admit-viitoarea-extindere-a-blocului-comunitar,disinformation
23,A group of researchers created an artificial man,https://www.veridica.ro/stiri-false/fake-news-un-grup-de-cercetatori-a-creat-un-om-artificial,fake_news
24,Ukraine glorifies the killers of 1.5 million Jews,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-ii-glorifica-pe-ucigasii-a-15-milioane-de-evrei,war_propaganda
25,The world occult requires online censorship in the EU,https://www.veridica.ro/stiri-false/fake-news-oculta-mondiala-impune-cenzura-online-in-ue,fake_news
26,Ukrainians in Poland will be extradited and sent to the front,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-din-polonia-vor-fi-extradati-si-trimisi-pe-front,war_propaganda
27,Maia Sandu closes schools because the West wants cheap work,https://www.veridica.ro/stiri-false/fake-news-maia-sandu-inchide-scoli-pentru-ca-occidentul-vrea-mana-de-lucru-ieftina,fake_news
28,The Chisinau government has linked its fate to Ukraine,https://www.veridica.ro/stiri-false/fake-news-guvernarea-de-la-chisinau-si-a-legat-soarta-de-ucraina,fake_news
29,Judge convicted of opposing the sanitary dictatorship,https://www.veridica.ro/stiri-false/fake-news-judecator-condamnat-pentru-ca-s-a-opus-dictaturii-sanitare,fake_news
30,Ukraine wants to massacre the Russians from Crimea,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-vrea-sa-masacreze-rusii-din-crimeea,war_propaganda
31,Today's emigration from Moldova is similar to Stalinist deportations,https://www.veridica.ro/dezinformare/dezinformare-emigrarea-de-azi-din-moldova-este-similara-deportarilor-staliniste,disinformation
32,"Deaths caused by myocarditis, related to anti-Covid19 vaccine",https://www.veridica.ro/stiri-false/fake-news-decesele-cauzate-de-miocardita-legate-de-vaccinul-anti-covid19,fake_news
33,NATO troops in Romania threaten peace,https://www.veridica.ro/stiri-false/fake-news-trupele-nato-din-romania-ameninta-pacea,fake_news
34,"Forced by the West to give up CSI, Chisinau destroys its economy",https://www.veridica.ro/stiri-false/fake-news-fortat-de-occident-sa-renunte-la-csi-chisinaul-isi-distruge-economia,fake_news
35,China's development endangers Western civilization,https://www.veridica.ro/dezinformare/dezinformare-dezvoltarea-chinei-pune-in-pericol-civilizatia-occidentala,disinformation
36,Poland wants to attack Russia and occupy western Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-polonia-vrea-sa-atace-rusia-si-sa-ocupe-vestul-ucrainei,war_propaganda
37,Moldova is waiting for the dictatorship with the blessing of the West,https://www.veridica.ro/stiri-false/fake-news-moldova-se-ndreapta-spre-dictatura-cu-binecuvantarea-occidentului,fake_news
38,Ukrainians are waiting for salvation from Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-asteapta-salvarea-de-la-rusia,war_propaganda
39,Russia saves Ukrainians from self -destruction,https://www.veridica.ro/stiri-false/propaganda-de-razboi-rusia-ii-salveaza-pe-ucraineni-de-la-autodistrugere,war_propaganda
40,The new OMS protocols aim to sexually mutilate children,https://www.veridica.ro/stiri-false/fake-news-noile-protocoale-ale-oms-au-ca-scop-mutilarea-sexuala-a-copiilor,fake_news
41,Ukrainians want a president like Vladimir Putin,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-isi-doresc-un-presedinte-ca-vladimir-putin,war_propaganda
42,"Maia Sandu closed 200 schools, chasing young people from Moldova",https://www.veridica.ro/stiri-false/fake-news-maia-sandu-a-inchis-200-de-scoli-alungand-tinerii-din-r-moldova,fake_news
43,The EU allows Ukraine to break the rights of Russians,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ue-ii-permite-ucrainei-sa-incalce-drepturile-rusofonilor,war_propaganda
44,"Extreme, normal temperatures in Romania this season",https://www.veridica.ro/stiri-false/fake-news-temperaturile-extreme-normale-in-romania-in-acest-sezon,fake_news
45,Ukrainians are sentenced to prison for discussing with their relatives in Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-sunt-condamnati-la-puscarie-pentru-ca-discuta-cu-rudele-lor-din-rusia,war_propaganda
46,Interpol will be looking for Ukrainians who have fled to mobilization,https://www.veridica.ro/stiri-false/propaganda-de-razboi-interpol-ii-va-da-in-cautare-pe-ucrainenii-care-au-fugit-de-mobilizare,war_propaganda
47,"In order to join the EU, the Republic of Moldova must send soldiers to the Ukraine war",https://www.veridica.ro/stiri-false/fake-news-pentru-a-adera-la-ue-republica-moldova-trebuie-sa-trimita-soldati-in-razboiul-din-ucraina,fake_news
48,The West invites Russia to reconnect to the International Payment System,https://www.veridica.ro/stiri-false/fake-news-occidentul-invita-rusia-sa-se-reconecteze-la-sistemul-plati-international,fake_news
49,"Ukraine will be attached to Poland, to be part of NATO and EU",https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-va-fi-alipita-poloniei-pentru-a-face-parte-din-nato-si-ue,war_propaganda
50,Oculture World is preparing a perpetual pandemic,https://www.veridica.ro/stiri-false/fake-news-oculta-mondiala-pregateste-o-pandemie-perpetua,fake_news
51,"Attack at Chisinau Airport, a consequence of CSI Distance",https://www.veridica.ro/stiri-false/fake-news-atacul-de-pe-aeroportul-chisinau-o-consecinta-a-distantarii-de-csi,fake_news
52,"Russia's peace plan, increasingly sustained in the EU",https://www.veridica.ro/stiri-false/propaganda-de-razboi-planul-de-pace-al-rusiei-tot-mai-sustinut-in-ue,war_propaganda
53,The trips of the Romans will be followed by CNAIR,https://www.veridica.ro/stiri-false/fake-news-deplasarile-romanilor-vor-fi-urmarite-de-cnair,fake_news
54,Maia Sandu established a dictatorial regime similar to that of Plahotniuc,https://www.veridica.ro/stiri-false/fake-news-maia-sandu-a-instaurat-un-regim-dictatorial-similar-cu-cel-al-lui-plahotniuc,fake_news
55,Ukrainians no longer take place in cemeteries for the dead military,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-nu-mai-au-loc-in-cimitire-pentru-militarii-morti,war_propaganda
56,Ukrainians want Russian citizenship to defend their EU children,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucrainenii-vor-cetatenia-rusa-ca-sa-si-apere-copiii-de-ue,war_propaganda
57,Moldova becomes a bridgehead for military actions against Russia,https://www.veridica.ro/stiri-false/fake-news-moldova-devine-cap-de-pod-pentru-actiuni-militare-impotriva-rusiei,fake_news
58,UN accused Ukraine of torturing civilians,https://www.veridica.ro/stiri-false/propaganda-de-razboi-onu-a-acuzat-ucraina-de-torturarea-civililor,war_propaganda
59,In Moldova we want the amendment of Russian speakers,https://www.veridica.ro/stiri-false/fake-news-in-moldova-se-vrea-amendarea-vorbitorilor-de-rusa,fake_news
60,Removing the SOR Party Apart from the Law to Usurpare Power in the State,https://www.veridica.ro/dezinformare/dezinformare-scoaterea-partidului-sor-in-afara-legii-e-uzurpare-a-puterii-in-stat,disinformation
61,Azov Sea is a great internal of Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-marea-azov-e-o-mare-interna-a-rusiei,war_propaganda
62,We will no longer be able to buy food without digital passport,https://www.veridica.ro/stiri-false/fake-news-nu-vom-mai-putea-cumpara-hrana-fara-pasaport-digital,fake_news
63,Romanians understood that they should not support Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-romanii-au-inteles-ca-nu-trebuie-sa-sprijine-ucraina,war_propaganda
64,Fear of artificial intelligence will intensify dictatorship,https://www.veridica.ro/stiri-false/fake-news-teama-de-inteligenta-artificiala-va-intensifica-dictatura,fake_news
65,In Ukraine there is a civil war for the restoration of big Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-in-ucraina-are-loc-un-razboi-civil-pentru-refacerea-rusiei-mari,war_propaganda
66,The West forces Moldova to follow the path of Ukraine,https://www.veridica.ro/stiri-false/fake-news-occidentul-forteaza-moldova-sa-urmeze-calea-ucrainei,fake_news
67,"Universal income, one more step toward the enslavement of mankind",https://www.veridica.ro/stiri-false/fake-news-venitul-universal-inca-un-pas-spre-inrobirea-omenirii,fake_news
68,"CPE summit, organized to create an anti-Russian coalition",https://www.veridica.ro/stiri-false/fake-news-summitul-cpe-organizat-pentru-crearea-unei-coalitii-anti-ruse,fake_news
69,Moral principles prevent Russia from completing the war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-principiile-morale-impiedica-rusia-sa-incheie-razboiul,war_propaganda
70,In the Republic of Moldova there is no Russian propaganda,https://www.veridica.ro/dezinformare/dezinformare-in-republica-moldova-nu-exista-propaganda-rusa,disinformation
71,Andrzej Duda says Russia will win the war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-andrzej-duda-spune-ca-rusia-va-castiga-razboiul,war_propaganda
72,The separation of Romanian children from families has begun,https://www.veridica.ro/stiri-false/fake-news-a-inceput-separarea-copiilor-romani-de-familii,fake_news
73,The EU wants to push Moldova to a confrontation with Russia,https://www.veridica.ro/stiri-false/fake-news-ue-vrea-sa-impinga-moldova-spre-o-confruntare-cu-rusia,fake_news
74,NATO supports Ukraine to cause a world war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-nato-sprijina-ucraina-pentru-a-cauza-un-razboi-mondial,war_propaganda
75,Ukraine is a Soviet invention,https://www.veridica.ro/dezinformare/dezinformare-ucraina-este-o-inventie-sovietica,disinformation
76,Russia is not involved in the internal affairs of Moldova,https://www.veridica.ro/dezinformare/dezinformare-rusia-nu-se-implica-in-afacerile-interne-ale-moldovei,disinformation
77,Romania is invaded by Asians,https://www.veridica.ro/stiri-false/fake-news-romania-este-invadata-de-asiatici,fake_news
78,The West believes that Ukraine will lose,https://www.veridica.ro/stiri-false/propaganda-de-razboi-occidentul-crede-ca-ucraina-va-pierde,war_propaganda
79,Moldova leaves the CIS at the West indication,https://www.veridica.ro/dezinformare/dezinformare-moldova-iese-din-csi-la-indicatia-occidentului,disinformation
80,The War of Ukraine is in Zelenski's interest,https://www.veridica.ro/stiri-false/propaganda-de-razboi-razboiul-din-ucraina-este-in-interesul-lui-zelenski,war_propaganda
81,Russia is supported by 85% of the planet's population,https://www.veridica.ro/stiri-false/fake-news-rusia-este-sustinuta-de-85-din-populatia-planetei,fake_news
82,Ukrainian children are sold in the West,https://www.veridica.ro/stiri-false/propaganda-de-razboi-copiii-ucraineni-sunt-vanduti-in-occident,war_propaganda
83,Kiev and Chisinaul agreed to liquidate Transnistria,https://www.veridica.ro/stiri-false/fake-news-kievul-si-chisinau-au-cazut-de-acord-sa-lichideze-transnistria,fake_news
84,The government wants to sell Romania and take the children of the Romanians,https://www.veridica.ro/dezinformare/dezinformare-guvernarea-vrea-sa-vanda-romania-si-sa-ia-copiii-romanilor,disinformation
85,"""Special military operation"" saves Russia from the aggression of the West",https://www.veridica.ro/stiri-false/propaganda-de-razboi-operatiunea-militara-speciala-salveaza-rusia-de-agresiunea-occidentului,war_propaganda
86,Ukraine is a terrorist state and must be punished by Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-este-un-stat-terorist-si-trebuie-pedepsit-de-rusia,war_propaganda
87,Moldova accepts the attack of Transnistria for Ukraine to take Russian ammunition from there,https://www.veridica.ro/stiri-false/fake-news-moldova-accepta-atacarea-transnistriei-pentru-ca-ucraina-sa-ia-munitia-rusa-de-acolo,fake_news
88,Romanism is a form of aggression against Russia,https://www.veridica.ro/dezinformare/dezinformare-romanismul-e-o-forma-de-agresiune-impotriva-rusiei,disinformation
89,The West will order Poland to attack Belarus and occupy Lvul,https://www.veridica.ro/stiri-false/propaganda-de-razboi-occidentul-va-ordona-poloniei-sa-atace-belarusul-si-sa-ocupe-liovul,war_propaganda
90,Approaching the EU throws Moldova into poverty,https://www.veridica.ro/stiri-false/fake-news-apropierea-de-ue-arunca-moldova-in-saracie,fake_news
91,Romania supports Medvedev's proposal to share Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-romania-sustine-propunerea-lui-medvedev-de-impartire-a-ucrainei,war_propaganda
92,"In 2023, Romania will lose Transylvania",https://www.veridica.ro/dezinformare/dezinformare-transilvania-va-fi-alipita-ungariei,disinformation
93,Ukraine is a Pseudo Nazi State pushed to West War,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-este-un-pseudo-stat-nazist-impins-la-razboi-de-occident,war_propaganda
94,"If he wants in the EU, Moldova must adhere to NATO",https://www.veridica.ro/stiri-false/fake-news-daca-vrea-in-ue-moldova-trebuie-sa-adere-la-nato,fake_news
95,Putin warned Ukraine 23 years ago that NATO will cause a war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-putin-a-avertizat-ucraina-acum-23-de-ani-ca-nato-va-provoca-un-razboi,war_propaganda
96,Ukraine attacked Romania with me,https://www.veridica.ro/stiri-false/fake-news-ucraina-a-atacat-romania-cu-mine,fake_news
97,War forced US to move biological weapons from Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-razboiul-a-fortat-sua-sa-mute-armele-biologice-din-ucraina,war_propaganda
98,The Republic of Moldova is preparing one million reservists to attack Transnistria,https://www.veridica.ro/stiri-false/fake-news-republica-moldova-pregateste-un-milion-de-rezervisti-pentru-a-ataca-transnistria,fake_news
99,US allowed Ukraine to bombard Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-sua-i-au-permis-ucrainei-sa-bombardeze-rusia,war_propaganda
100,The future Polish-Ukrainian state will dismantle Romania,https://www.veridica.ro/stiri-false/fake-news-viitorul-stat-polono-ucrainean-negociaza-va-dezmembra-romania,fake_news
101,"The US will send 200 thousand Ukrainian military-sugargias, subordinated directly to the Pentagon",https://www.veridica.ro/stiri-false/propaganda-de-razboi-sua-vor-trimite-in-ofensiva-200-de-mii-de-militari-sinucigasi-ucraineni-subordonati-direct-pentagonului,war_propaganda
102,Romanians will be limited to freedom of movement,https://www.veridica.ro/stiri-false/fake-news-romanilor-li-se-va-limita-libertatea-de-miscare,fake_news
103,Ukraine will continue to assassinate Russians based on an online published list,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-va-continua-sa-asasineze-rusi-in-baza-unei-liste-publicate-online,war_propaganda
104,The Chisinau government stole a billion euros from the financial aid offered by the EU,https://www.veridica.ro/stiri-false/fake-news-guvernarea-de-la-chisinau-a-furat-un-miliard-de-euro-din-ajutorul-financiar-oferit-de-ue,fake_news
105,Germany support Ukraine to forget the horrors of Nazism,https://www.veridica.ro/stiri-false/propaganda-de-razboi-germania-sprijina-ucraina-pentru-a-face-uitate-ororile-nazismului,war_propaganda
106,Zelenski has ties with the Nazis,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-are-legaturi-cu-nazistii,war_propaganda
107,Green energy promoted by the West to obtain mineral resources,https://www.veridica.ro/stiri-false/fake-news-energia-verde-promovata-de-occident-pentru-a-obtine-resurse-minerale,fake_news
108,Chisinaul promotes antirusa hysteria,https://www.veridica.ro/dezinformare/dezinformare-chisinaul-promoveaza-isteria-antirusa,disinformation
109,Czechs give Ukraine weapons to bomb the civilians,https://www.veridica.ro/stiri-false/propaganda-de-razboi-cehii-ii-dau-ucrainei-arme-ca-sa-bombardeze-civili,war_propaganda
110,USA runs Romania and bears war against Russia,https://www.veridica.ro/stiri-false/fake-news-sua-conduce-romania-si-poarta-razboi-impotriva-rusiei,fake_news
111,"Russia and China will be peace in Ukraine, while the West feeds the war",https://www.veridica.ro/stiri-false/propaganda-de-razboi-rusia-si-china-vor-pace-in-ucraina-in-timp-ce-occidentul-alimenteaza-razboiul,war_propaganda
112,Western diplomats are preparing the entry of Moldova into the war,https://www.veridica.ro/stiri-false/fake-news-diplomati-occidentali-pregatesc-intrarea-moldovei-in-razboi,fake_news
113,Increases the number of Moldovans that give Right to Russia in the Ukraine War,https://www.veridica.ro/dezinformare/dezinformare-creste-numarul-moldovenilor-care-ii-dau-dreptate-rusiei-in-razboiul-din-ucraina,disinformation
114,Ukraine blocks the creation of a protection zone at the Zaporojie nuclear power plant and wants to cause a nuclear accident.,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-blocheaza-creare-unei-zone-de-protectie-la-centrala-nucleara-zaporojie-si-vrea-sa-provoace-un-accident-nuclear,war_propaganda
115,The children in Romania will no longer know what sex they have and which species belong to them,https://www.veridica.ro/stiri-false/fake-news-copiii-din-romania-nu-vor-mai-sti-ce-sex-au-si-carei-specii-ii-apartin,fake_news
116,The Ukrainian Orthodox Church is persecuted by Kiev as during the communist period,https://www.veridica.ro/stiri-false/propaganda-de-razboi-biserica-ortodoxa-ucraineana-este-persecutata-de-kiev-ca-in-perioada-comunista,war_propaganda
117,Ukraine nuclear power plant specialists will be sent to the front,https://www.veridica.ro/stiri-false/propaganda-de-razboi-specialistii-centralelor-nucleare-din-ucraina-vor-fi-trimisi-pe-front,war_propaganda
118,Romania is preparing to enter the war,https://www.veridica.ro/stiri-false/fake-news-romania-se-pregateste-sa-intre-in-razboi,fake_news
119,Zelenski asked NATO member states to send troops to Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-le-a-solicitat-statelor-membre-nato-sa-trimita-trupe-in-ucraina,war_propaganda
120,The government in Chisinau wants to eliminate the Moldovan language because it prepares the Union with Romania,https://www.veridica.ro/dezinformare/dezinformare-guvernarea-de-la-chisinau-vrea-sa-elimine-limba-moldoveneasca-pentru-ca-pregateste-unirea,disinformation
121,The students in Romania are obliged to watch films that do propaganda for suicide and homosexuality,https://www.veridica.ro/stiri-false/fake-news-elevii-din-romania-sunt-obligati-sa-urmareasca-filme-care-fac-propaganda-pentru-sinucidere-si-homosexualitate,fake_news
122,"Russia must mobilize to overcome NATO in the new ""war for defense""",https://www.veridica.ro/stiri-false/propaganda-de-razboi-rusia-trebuie-sa-se-mobilizeze-pentru-a-invinge-nato-in-noul-razboi-pentru-apararea-patriei,war_propaganda
123,"Romania massages troops at the border with Moldova and in Chisinau, even if it denies this",https://www.veridica.ro/dezinformare/dezinformare-romania-maseaza-trupe-la-granita-cu-moldova-si-in-chisinau-chiar-daca-neaga-acest-lucru,disinformation
124,Chisinau government prohibits Russian press at the West indication,https://www.veridica.ro/stiri-false/dezinformare-guvernarea-de-la-chisinau-interzice-presa-rusa-la-indicatia-occidentului,fake_news
125,"""Special military operation"" saved Russia from the NATO invasion and Ukrainian Nazism",https://www.veridica.ro/stiri-false/propaganda-de-razboi-operatiunea-militara-speciala-a-salvat-rusia-de-invazia-nato-si-nazismul-ucrainean,war_propaganda
126,"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea",https://www.veridica.ro/stiri-false/fake-news-ucraina-se-pregateste-sa-atace-transnistria-iar-o-armada-de-tancuri-nato-de-pe-teritoriul-romaniei-sa-ajunga-in-crimeea,fake_news
127,"In the future, people will have to pay in order to breathe",https://www.veridica.ro/stiri-false/fake-news-in-viitor-oamenii-vor-fi-nevoiti-sa-plateasca-pentru-a-putea-respira,fake_news
128,Ukraine will organize a Russian genocide,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-va-organiza-un-genocid-al-rusilor,war_propaganda
129,Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-a-recunoscut-ca-ucrainenii-simpli-n-au-niciun-motiv-sa-lupte-impotriva-rusiei,war_propaganda
130,The EU sent the military to Ukraine before 2022 to weaken Russia,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ue-a-trimis-militari-in-ucraina-inainte-de-2022-pentru-a-slabi-rusia,war_propaganda
131,Maia Sandu dismissed Natalia Gavrilita to purify the opposition and strengthen her authoritarian and anti-Russian regime,https://www.veridica.ro/stiri-false/fake-news-maia-sandu-a-demis-o-pe-natalia-gavrilita-ca-sa-epureze-opozitia-si-sa-isi-consolideze-regimul-autoritar-si-anti-rus,fake_news
132,"Romanians will regain the country's wealth if they are isolated from the West, like Japan",https://www.veridica.ro/dezinformare/dezinformare-romanii-vor-recastiga-avutia-tarii-daca-se-izoleaza-de-occident-ca-japonia,disinformation
133,"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6",https://www.veridica.ro/dezinformare/dezinformare-ue-nu-lasa-romania-sa-ajute-siria-puternic-afectata-de-cutremurul-din-6-februarie,disinformation
134,Ukraine recruits volunteers for Nazi brigades,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ucraina-recruteaza-voluntari-pentru-brigazi-naziste,war_propaganda
135,"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova",https://www.veridica.ro/dezinformare/dezinformare-abandonati-de-propriul-guvern-refugiatii-ucraineni-sunt-prost-tratati-si-de-republica-moldova,disinformation
136,Russian military actions in Herson region are an example of human behavior,https://www.veridica.ro/stiri-false/propaganda-de-razboi-actiunile-militarilor-rusi-in-regiunea-herson-sunt-un-exemplu-de-comportament-uman,war_propaganda
137,Occult global wants digital coins to ensure humanity,https://www.veridica.ro/stiri-false/fake-news-oculta-globala-vrea-monede-digitale-pentru-a-inrobi-omenirea,fake_news
138,NATO prepares the territory of the Republic of Moldova as a future war theater,https://www.veridica.ro/stiri-false/fake-news-nato-pregateste-teritoriul-republicii-moldova-ca-viitor-teatru-de-razboi,fake_news
139,Zelenski acknowledged that Western tanks will not change the situation on the front,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-a-recunoscut-ca-tancurile-occidentale-nu-vor-schimba-situatia-de-pe-front,war_propaganda
140,Western occult forces will take the children of Romanians families,https://www.veridica.ro/stiri-false/fake-news-forte-oculte-occidentale-le-vor-lua-copiii-familiilor-de-romani,fake_news
141,The West forces Russia to expand its military operations in Ukraine,https://www.veridica.ro/stiri-false/propaganda-de-razboi-occidentul-forteaza-rusia-sa-isi-extinda-operatiunile-militare-din-ucraina,war_propaganda
142,The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach,https://www.veridica.ro/stiri-false/fake-news-biserica-ortodoxa-romana-vrea-sa-preia-parohii-din-ucraina-si-republica-moldova-pentru-a-pregati-anexarea-unor-teritorii-de-catre-romania-chisinaul-sprijina-demersul,fake_news
143,Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-fostul-procuror-general-al-ucrainei-ii-pregateste-moral-pe-ucraineni-pentru-o-infrangere-in-razboi,war_propaganda
144,Volodimir Zelenski wants world nuclear war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-volodimir-zelenski-vrea-razboi-nuclear-mondial,war_propaganda
145,The West and Romania will enter the war on Ukraine,https://www.veridica.ro/stiri-false/fake-news-occidentul-si-romania-vor-intra-in-razboi-de-partea-ucrainei,fake_news
146,The mothers and wives of the Ukrainian military killed in fights protest against the war,https://www.veridica.ro/stiri-false/propaganda-de-razboi-mamele-si-sotiile-militarilor-ucraineni-ucisi-in-lupte-protesteaza-fata-de-razboi,war_propaganda
147,Chisina's military intentions cause concerns in Bucharest,https://www.veridica.ro/dezinformare/dezinformare-intentiile-militariste-ale-chisinaului-provoaca-ingrijorari-la-bucuresti,disinformation
148,"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock",https://www.veridica.ro/stiri-false/fake-news-produsele-din-uniunea-europeana-vor-contine-faina-din-greieri-care-este-alergena-si-duce-la-soc-anafilactic,fake_news
149,"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist",https://www.veridica.ro/stiri-false/propaganda-de-razboi-din-cauza-ucrainei-statele-ue-vor-intra-in-recesiune-iar-fara-energie-ruseasca-nu-vor-rezista,war_propaganda
150,NATO provides Ukraine only outdated armament,https://www.veridica.ro/stiri-false/propaganda-de-razboi-nato-furnizeaza-ucrainei-doar-armament-invechit,war_propaganda
151,Brussels gave its turn for the annexation of the Republic of Moldova by Romania,https://www.veridica.ro/stiri-false/fake-news-bruxelles-ul-si-a-dat-girul-pentru-anexarea-republicii-moldova-de-romania,fake_news
